iter	MultiClass
0	0.9917115053
1	0.9077198041
2	0.8375585611
3	0.7658791235
4	0.7342374179
5	0.6937407292
6	0.6529363998
7	0.6220937809
8	0.5903006809
9	0.5671170235
10	0.5426217293
11	0.5220294277112	0.5025480799113	0.4858100139114	0.4730351563115	0.4571202381116	0.4464817221117	0.4348745527
18	0.4239345612119	0.4158196249220	0.407117335
21	0.4012379207
22	0.3935132416
23	0.3844437043224	0.3787263481225	0.3705411782226	0.366125744627	0.3401989452
228	0.356241640829	0.3305974237
30	0.3235934321
31	0.3193206357
32	0.3142653267
33	0.3093430197
34	0.304504292
35	0.3029259199336	0.3003111901337	0.2964307975338	0.2924754643339	0.2912824305440	0.2873031707
41	0.2823970019
42	0.2810638551
43	0.2799537036
44	0.2774860422
45	0.2748639865
46	0.2719252792
47	0.2706031013
48	0.268028154
49	0.2645875182
50	0.2630511821
51	0.2612464902
52	0.2604122522
53	0.2585067427
54	0.2577112064
55	0.256704127
56	0.2545767894
57	0.2539154698
58	0.2516995602
59	0.2494204317
60	0.2481628919
61	0.2455062	0.262	0.2444969705
63	0.2436807239
64	0.2425126491
65	0.2421264169
66	0.241588298
67	0.2408134292
68	0.2381663808
69	0.2365025279
70	0.2354386745
71	0.2338436378
72	0.2326820627
73	0.2321079356
74	0.2313740008
75	0.230552285
76	0.2292780086
77	0.2278798478
78	0.2260345167
79	0.2251980783
80	0.2238518928
81	0.2221565505
82	0.2216769748
83	0.2211762169
84	0.219838877
85	0.2186997961
86	0.2170210813
87	0.2163794131
88	0.2158149295
89	0.2141939191
90	0.2134596799
91	0.2120144005
92	0.2114550484
93	0.2110521202
94	0.2106325932
95	0.2099122927
96	0.2081658595
97	0.2076959155
98	0.2061786437
99	0.2057878267
100	0.2046285184
101	0.2041483684
102	0.2036079655
103	0.2025446412
104	0.2020523249
105	0.2006654956
106	0.2001173923
107	0.198866929
108	0.1978425077
109	0.1972012363
110	0.1966868247
111	0.1961855136
112	0.1954380438
113	0.1949990473
114	0.1946488505
115	0.1942140167
116	0.1928989555
117	0.1918885129
118	0.191096381
119	0.1908318704
120	0.1904914796
121	0.1903069333
122	0.1899428781
123	0.1894913624
124	0.1888343778
125	0.188417872
126	0.1876042402
127	0.1864325662
128	0.1858271639
129	0.1847584606
130	0.1842471921
131	0.1837993055
132	0.1834900323
133	0.1829429132
134	0.1823979097
135	0.1808840796
136	0.1805548335
137	0.1799571735
138	0.1788231166
139	0.1784733555
140	0.1781555135
141	0.1770037813
142	0.1760695642
143	0.1757722549
144	0.1754275088
145	0.1747859347
146	0.174403576
147	0.1740791438
148	0.1735845395
149	0.1732105046
150	0.1722671559
151	0.1720058624
152	0.1714654497
153	0.1710201967
154	0.17040047
155	0.1697855226
156	0.169368185
157	0.1685013147
158	0.1680747264
159	0.1676537289
160	0.16703795
161	0.1658309496
162	0.1653567587
163	0.1649253663
164	0.164625184
165	0.1644273527
166	0.1640112016
167	0.1634544872
168	0.1623918623
169	0.1621417619
170	0.1618756969
171	0.1610681485
172	0.1604549158
173	0.160096235
174	0.1598777314
175	0.1594907865
176	0.158772736
177	0.1585693244
178	0.1582502048
179	0.1578552628
180	0.1572920675
181	0.1568688572
182	0.1565197899
183	0.156212005
184	0.1552551073
185	0.1549773176
186	0.1546333468
187	0.1543608065
188	0.1540084189
189	0.1536327771
190	0.1530268694
191	0.1524881962
192	0.1513565638
193	0.1511385338
194	0.1507365216
195	0.1503244109
196	0.1494532845
197	0.1486591601
198	0.1482972094
199	0.1476057387
200	0.1472780846
201	0.1468852415
202	0.146657463
203	0.146493743
204	0.1462130191
205	0.1460204774
206	0.1455594787
207	0.1452894877
208	0.1443531709
209	0.1436056332
210	0.1434533655
211	0.1432132123
212	0.1429610235
213	0.1424030595
214	0.1421202285
215	0.1418299577
216	0.1413414479
217	0.1410381218
218	0.140662444
219	0.1403538004
220	0.1400267365
221	0.1398495864
222	0.1395055246
223	0.1392401938
224	0.1387126227
225	0.1385595084
226	0.1384187719
227	0.1382285564
228	0.1378794899
229	0.1374865826
230	0.137279391
231	0.1368601861
232	0.1364537265
233	0.1360958887
234	0.1358884181
235	0.1351969995
236	0.1349128984
237	0.1347330609
238	0.1340582305
239	0.133670896
240	0.1334630535
241	0.1332675677
242	0.1330178011
243	0.1328764966
244	0.1325639626
245	0.1323917949
246	0.1319372737
247	0.1316577114
248	0.1313972032
249	0.1313001909
250	0.1309486248
251	0.1303997322
252	0.130238457
253	0.1301157484
254	0.1297097658
255	0.1292435229
256	0.128997139
257	0.1288026711
258	0.1284340897
259	0.1282742139
260	0.1280048786
261	0.1277465521
262	0.1275391662
263	0.1273005895
264	0.1270468188
265	0.1266860752
266	0.1264962682
267	0.1262571844
268	0.1261007317
269	0.1259270184
270	0.1257094095
271	0.1251903956
272	0.125008693
273	0.1248453603
274	0.1247124411
275	0.1244334028
276	0.1242287977
277	0.1238070479
278	0.1235577633
279	0.1233270559
280	0.1226927983
281	0.1224556917
282	0.1223524895
283	0.122228738
284	0.1216234978
285	0.121241971
286	0.1209550173
287	0.1207874364
288	0.1206036613
289	0.1204473664
290	0.1201099529
291	0.1199471759
292	0.1193427882
293	0.1190509545
294	0.1188551159
295	0.1186859016
296	0.118559232
297	0.1183509655
298	0.1180050291
299	0.1177968726
300	0.1176270114
301	0.1175138312
302	0.1173525228
